	x=ε/ω_c	ω_c*D(x)
0	0.01	7.333428387070018e-05
1	0.010519129409870084	8.874054750202048e-05
2	0.011065208354159375	0.00010406619029271217
3	0.011639635862457804	0.00011800393482685135
4	0.012243883592095842	0.0001290012540957829
5	0.012879499598464114	0.0001354644140837647
6	0.01354811230106138	0.00013618459688947586
7	0.014251434655431742	0.0001311168530732548
8	0.014991268541679379	0.00012269717448528013
9	0.015769509380803976	0.00011795138071578254
10	0.01658815099068373	0.00013173023987384907
11	0.017449290694146677	0.00019149250081930644
12	0.01835513469221707	0.0003441386692309817
13	0.019308003716302716	0.0006654508989108608
14	0.02031033897380409	0.0012726829782022577
15	0.021364708402377308	0.0023407195170340976
16	0.022473813248874576	0.004121923646460911
17	0.023640494989816435	0.0069692540271663545
18	0.024867742611126457	0.011361409159946136
19	0.02615870026577797	0.01792765710057053
20	0.027516675328972156	0.02746873852972456
21	0.02894514687148374	0.04096904507089297
22	0.03044777457288337	0.05959459686380499
23	0.0320284080974712	0.08467171979938001
24	0.03369109695694304	0.11764325289495789
25	0.035440100885056405	0.16000273875902798
26	0.03727990075087597	0.21321174964047104
27	0.03921521003855772	0.27860966297181
28	0.04125098692308251	0.3573265058816632
29	0.04339244697287635	0.4502061371605389
30	0.04564507651186117	0.5577397623746401
31	0.04801464667516891	0.6800034053639681
32	0.05050722819452901	0.8165949925502141
33	0.053129206951208964	0.9665809761686476
34	0.05588730033635363	1.1284802838004104
35	0.058788574460637975	1.3003127395589733
36	0.061840462257323425	1.4797035904231859
37	0.06505078252509718	1.663987780374853
38	0.06842775995948126	1.8502614344889807
39	0.071980046224131	2.0354150993839735
40	0.07571674211600644	2.216254324660743
41	0.07964742088120322	2.389712529268592
42	0.08378215274117651	2.5529750015772383
43	0.08813153069219377	2.703427418352365
44	0.09270669764411231	2.8386892459914947
45	0.0975193749680116	2.95685940400418
46	0.10258189252581593	3.0565405787108655
47	0.10790722025884425	3.136612175687903
48	0.11350900141621369	3.1964136836786285
49	0.11940158750822785	3.235864120450308
50	0.1256000750742976	3.2550580488169185
51	0.13212034435959344	3.2545324056098854
52	0.13897909999951624	3.235208527723754
53	0.14619391381621868	3.1980364750868673
54	0.15378326983681984	3.144472717460992
55	0.16176661164864786	3.0758297312776697
56	0.17016439221283242	2.993851401075363
57	0.17899812626386735	2.9000569092778306
58	0.18829044542938858	2.796317406564364
59	0.19806515621138196	2.6841378652600794
60	0.20834730097736603	2.565263696800096
61	0.21916322211780653	2.441160758603692
62	0.23054062953413085	2.313176123089858
63	0.24250867163024395	2.1828390742949777
64	0.2550980099894226	2.0514899014019092
65	0.2683408979279068	1.9203025993237866
66	0.2822712631264391	1.7903550290455723
67	0.2969247945514502	1.6625371199130698
68	0.31233903388857925	1.5376117948243475
69	0.3285534717227763	1.4163836554697184
70	0.34560964871139754	1.2996350809466344
71	0.363551262009493	1.187845901052641
72	0.38242427721994426	1.0812239976193083
73	0.4022770461552626	0.9801768576127626
74	0.42316043071274884	0.8852402583870624
75	0.4451279331803768	0.7962652156243016
76	0.4682358333072387	0.712926457750003
77	0.49254333248972015	0.6358286457387524
78	0.5181127054428034	0.5653418017340387
79	0.545009459745075	0.4999200711618386
80	0.5733025036661824	0.44058473575344914
81	0.6030643227067088	0.3871702306974589
82	0.6343711653027524	0.33780679250249
83	0.6673032381709739	0.29502440471889385
84	0.7019449117945834	0.25515202755117894
85	0.7383849365767065	0.2212815319547089
86	0.776716670214909	0.1906477860975206
87	0.8170383168794012	0.16273974306915567
88	0.8594531788076862	0.14095837621879895
89	0.9040699209602264	0.11889758559821004
90	0.9510028494151641	0.10032990765853092
91	1.0003722042153305	0.08849922033857552
92	1.0523044674178048	0.07123540732101842
93	1.10693268713523	0.05967950797854049
94	1.1643968183990727	0.05691272034246723
95	1.2248440817180835	0.039386867901816634
96	1.2884293402506002	0.03694720890664908
97	1.3553154965569605	0.03685698953995643
98	1.4256739099484992	0.014722711593412157
99	1.4996848355023735	0.03791151230330858
